,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
2286,upload mapping jenkins release builds,image edition,different,0.233202606,different
2840,save dialog,lower resolution,different,0.233168304,different
3331,fastlane support huawei store,move text,different,0.232933968,different
1767,confirm tool application selecting tool,fill with alpha,different,0.232921287,different
4255,share feature,respect landscape orientation,different,0.23291117,different
3159,insert image catrobat media gallery,missing text insert,different,0.232819244,different
2918,hint change default settings tools,magic wand,different,0.232754871,different
1166,feedback menu entry overflow menu,crop images,different,0.232550025,different
1209,upload mapping jenkins release builds,curve tool,different,0.232515574,different
1775,correct user intended position tools,fill with alpha,different,0.232492238,different
2091,confirm tool application selecting tool,go hang,different,0.232370377,different
2723,hide unhide layer,long lines,different,0.232339129,different
778,export,code to games,different,0.232327491,different
1883,correct user intended position tools,free and many,different,0.232186466,different
3524,image file size editing,newest update,different,0.232181609,different
358,save temporary copies automatically,auto zoom kills,different,0.232080549,different
1300,feedback menu entry overflow menu,device folder,different,0.232072622,different
1344,upload mapping jenkins release builds,do some quite,different,0.232017159,different
1497,better compression research implementation,dynamic brushes,different,0.232012153,different
3482,spray tool,new update sucks,different,0.231967419,different
472,feedback menu entry overflow menu,blur tool,different,0.231956616,different
5027,save load pocketpaint format,think concept,different,0.231904715,different
5026,save load pocketpaint format,think concept,different,0.231904715,different
4069,hide unhide layer,reflect chosen colour,different,0.231852725,different
1949,auto crop icon,full screen,different,0.231842697,different
1914,paste tool,friendliness range,different,0.231639206,different
3918,confirm tool application selecting tool,pocket code,different,0.231612578,different
2861,spray tool,lowers resolution,different,0.231612444,different
3022,feedback menu entry overflow menu,many tools,different,0.231595501,different
2687,reuse drawingsurface pipette activity,load photos,different,0.231546685,different
1703,feedback menu entry overflow menu,fill tool fills,different,0.23152183,different
1610,build paintroid pull requests catroid develop jenkins,enter texts,different,0.231467724,different
1627,hint change default settings tools,export my pictures,different,0.231452346,different
2207,correct user intended position tools,gradient fill,different,0.231381372,different
5071,build paintroid pull requests catroid develop jenkins,toggle move option,different,0.231380373,different
2943,insert image catrobat media gallery,main issue tools,different,0.231372669,different
3581,close transform tool options clicking apply,outline an addition,different,0.231301725,different
3604,image file size editing,outline an addition,different,0.231272221,different
4809,paste tool,straight line,different,0.231266797,different
2555,image file size editing,like paint,different,0.231211394,different
3110,save dialog,microsoft computers,different,0.23098892,different
4322,fastlane support huawei store,satisfy my experience,different,0.230953097,different
4106,export,removes exif data,different,0.230811566,different
4922,feedback menu entry overflow menu,text input option,different,0.23073934,different
2144,export,good range,different,0.230659723,different
3541,copy paste symbols stamp tool selection application,offence to creators,different,0.230654344,different
2804,hide unhide layer,low resolution,different,0.230597317,different
4327,upload mapping jenkins release builds,satisfy my experience,different,0.230580837,different
5154,upload mapping jenkins release builds,type text,different,0.23056075,different
4963,build paintroid pull requests catroid develop jenkins,text insert,different,0.230441585,different
3835,save dialog,pictures shots,different,0.230422348,different
4769,export,spray tool,different,0.230415642,different
4380,correct user intended position tools,screen shots,different,0.23036547,different
524,hide unhide layer,change canvas size,different,0.230320156,different
1139,share feature,crop edge,different,0.23022823,different
3183,share feature,more layers,different,0.230211258,different
3300,better compression research implementation,move image,different,0.23016277,different
4356,save temporary copies automatically,screen shots,different,0.230126768,different
3476,paste tool,new update sucks,different,0.23011148,different
1514,hide unhide layer,edit photos of gacha,different,0.230031595,different
3378,checkmark confirm tool applications,multi touch interface,different,0.229894206,different
5052,paste tool,toggle move option,different,0.229857028,different
4262,copy paste symbols stamp tool selection application,respect landscape orientation,different,0.229845196,different
551,hide unhide layer,change width,different,0.229738683,different
5377,save load pocketpaint format,zooming capabilities,different,0.22966373,different
5376,save load pocketpaint format,zooming capabilities,different,0.22966373,different
2137,insert image catrobat media gallery,good range,different,0.229592696,different
4664,center button transform tool,simple draw offer,different,0.22951971,different
5195,hint change default settings tools,unnecessary permissions,different,0.229487032,different
1036,hint change default settings tools,correct point,different,0.229342595,different
2327,hint change default settings tools,inport picture,different,0.229132354,different
1551,better compression research implementation,edit small things,different,0.229050249,different
4867,share feature,takes little time,different,0.229030311,different
1144,checkmark confirm tool applications,crop edge,different,0.228954554,different
321,export,applying a color,different,0.22885558,different
3217,copy paste symbols stamp tool selection application,more shapes,different,0.22879535,different
4409,close transform tool options clicking apply,see every pixel,different,0.228782028,different
4580,copy paste symbols stamp tool selection application,shrink an image,different,0.228672206,different
4633,copy paste symbols stamp tool selection application,simple area selection,different,0.228661567,different
4035,dynamic color scheme,rectangle stamp,different,0.228608623,different
3489,better compression research implementation,new update sucks,different,0.228549227,different
911,confirm tool application selecting tool,colour fill option,different,0.228465319,different
1728,hide unhide layer,fill tools,different,0.228451088,different
2834,spray tool,lower resolution,different,0.228383332,different
4419,auto crop icon,see every pixel,different,0.228369147,different
537,center button transform tool,change canvas size,different,0.228320509,different
631,save load pocketpaint format,chat thing,different,0.22828415,different
630,save load pocketpaint format,chat thing,different,0.22828415,different
2034,save dialog,gauging smaller sizes,different,0.228181526,different
1496,save dialog,dynamic brushes,different,0.228118137,different
132,better compression research implementation,add pen tool,different,0.227992505,different
3780,copy paste symbols stamp tool selection application,perfect substitute,different,0.227977216,different
4546,hide unhide layer,settings option,different,0.227958292,different
41,save load pocketpaint format,add a blur,different,0.227949053,different
40,save load pocketpaint format,add a blur,different,0.227949053,different
4768,better compression research implementation,spray tool,different,0.227944016,different
3041,dynamic color scheme,many tools,different,0.227816761,different
2465,save dialog,landscape mode,different,0.227772221,different
4964,reuse drawingsurface pipette activity,text insert,different,0.227635995,different
1308,better compression research implementation,device folder,different,0.227631375,different
2955,build paintroid pull requests catroid develop jenkins,main issue tools,different,0.227497682,different
1271,hide unhide layer,dedicated pan,different,0.22746852,different
4699,dynamic color scheme,small basic animation,different,0.227461979,different
3919,center button transform tool,pocket code,different,0.22725454,different
1059,feedback menu entry overflow menu,create graphics,different,0.226990581,different
4686,copy paste symbols stamp tool selection application,small basic animation,different,0.226976335,different
1352,hide unhide layer,draw frames,different,0.226735726,different
712,save load pocketpaint format,clone tool,different,0.226725444,different
711,save load pocketpaint format,clone tool,different,0.226725444,different
3954,dynamic color scheme,pocket paint,different,0.226708129,different
4300,upload mapping jenkins release builds,rotation controls,different,0.226665542,different
4125,spray tool,rendering useless,different,0.226579875,different
5380,feedback menu entry overflow menu,zooming capabilities,different,0.226438984,different
3485,hint change default settings tools,new update sucks,different,0.226419061,different
1190,hide unhide layer,curve tool,different,0.226411656,different
586,copy paste symbols stamp tool selection application,changed language,different,0.226406425,different
843,save temporary copies automatically,color grid,different,0.226404905,different
4023,save dialog,rectangle stamp,different,0.226382196,different
5335,export,wide verity,different,0.226363286,different
431,github crowdin integration,basic animation package,different,0.22632958,different
3959,save load pocketpaint format,put titles,different,0.22632727,different
3958,save load pocketpaint format,put titles,different,0.22632727,different
3666,save load pocketpaint format,paint file,different,0.226279199,different
3665,save load pocketpaint format,paint file,different,0.226279199,different
4658,checkmark confirm tool applications,simple draw offer,different,0.22601372,different
240,export,air canvas,different,0.225972906,different
1281,better compression research implementation,dedicated pan,different,0.225923702,different
3860,checkmark confirm tool applications,pictures with transparency,different,0.22569257,different
1191,share feature,curve tool,different,0.225655437,different
1363,export,draw frames,different,0.225476697,different
353,reuse drawingsurface pipette activity,applying transparency,different,0.225414529,different
4760,share feature,spray tool,different,0.225333601,different
2074,close transform tool options clicking apply,go hang,different,0.225267321,different
3021,share feature,many tools,different,0.22521928,different
4978,insert image catrobat media gallery,text outline,different,0.225194603,different
772,auto crop icon,code to games,different,0.225166708,different
5390,confirm tool application selecting tool,zooming capabilities,different,0.225005314,different
1813,insert image catrobat media gallery,find a place,different,0.224991471,different
4467,save load pocketpaint format,select transparent on colors,different,0.224924624,different
4466,save load pocketpaint format,select transparent on colors,different,0.224924624,different
4798,center button transform tool,stop camera,different,0.224912927,different
3139,export,miss select,different,0.224853247,different
532,copy paste symbols stamp tool selection application,change canvas size,different,0.224708945,different
3148,correct user intended position tools,miss select,different,0.224699318,different
1785,spray tool,fills entire canvas,different,0.224673897,different
2660,github crowdin integration,line tools,different,0.224614605,different
2898,center button transform tool,made reviews,different,0.224509895,different
1874,export,free and many,different,0.224504143,different
4819,checkmark confirm tool applications,straight line,different,0.224439234,different
4002,github crowdin integration,quite complex picture,different,0.224428788,different
5289,upload mapping jenkins release builds,white worked,different,0.224372357,different
1632,confirm tool application selecting tool,export my pictures,different,0.224330932,different
1320,close transform tool options clicking apply,do some quite,different,0.224311501,different
83,fastlane support huawei store,add graph,different,0.224295735,different
854,checkmark confirm tool applications,color grid,different,0.224245206,different
3627,fastlane support huawei store,output resolution,different,0.223958105,different
4282,share feature,rotation controls,different,0.223935917,different
2187,hide unhide layer,gradient fill,different,0.223930076,different
4448,checkmark confirm tool applications,see this drive,different,0.223762691,different
2298,insert image catrobat media gallery,infinite painter,different,0.223739579,different
2140,checkmark confirm tool applications,good range,different,0.223675162,different
4422,copy paste symbols stamp tool selection application,see every pixel,different,0.223669559,different
4896,spray tool,tell resolution,different,0.223657086,different
5198,save dialog,unnecessary permissions,different,0.223641798,different
3720,feedback menu entry overflow menu,paste images,different,0.223635375,different
3127,save load pocketpaint format,miss select,different,0.223498076,different
3126,save load pocketpaint format,miss select,different,0.223498076,different
4311,spray tool,satisfy my experience,different,0.223427236,different
4080,export,reflect chosen colour,different,0.223240882,different
534,better compression research implementation,change canvas size,different,0.223222256,different
3687,correct user intended position tools,paint file,different,0.223207399,different
3660,correct user intended position tools,paint bucket,different,0.2229729,different
5036,copy paste symbols stamp tool selection application,think concept,different,0.222919583,different
4164,github crowdin integration,resize picture,different,0.22289905,different
2467,export,landscape mode,different,0.222882301,different
1738,better compression research implementation,fill tools,different,0.222881317,different
3544,export,offence to creators,different,0.222791433,different
3137,save dialog,miss select,different,0.222755715,different
161,confirm tool application selecting tool,add transparency,different,0.222653419,different
1062,auto crop icon,create graphics,different,0.222637892,different
3636,save temporary copies automatically,paint bucket,different,0.222631112,different
85,build paintroid pull requests catroid develop jenkins,add graph,different,0.222578406,different
3640,hide unhide layer,paint bucket,different,0.222536683,different
822,share feature,color fill tool,different,0.222516119,different
4729,paste tool,specify canvas size,different,0.222506031,different
2831,hide unhide layer,lower resolution,different,0.222472638,different
2348,hide unhide layer,intuitive layout,different,0.222422987,different
3046,save load pocketpaint format,marking options,different,0.222267017,different
3045,save load pocketpaint format,marking options,different,0.222267017,different
4259,auto crop icon,respect landscape orientation,different,0.222218364,different
1616,close transform tool options clicking apply,export my pictures,different,0.222183183,different
981,spray tool,converting photos from mb,different,0.222074777,different
2797,correct user intended position tools,low end,different,0.222036272,different
288,auto crop icon,android developers,different,0.22203593,different
5328,insert image catrobat media gallery,wide verity,different,0.222030312,different
272,build paintroid pull requests catroid develop jenkins,alpha transparencies,different,0.222021297,different
1577,save dialog,editing large images,different,0.22181578,different
2716,correct user intended position tools,load pictures,different,0.221814662,different
550,save load pocketpaint format,change width,different,0.221785292,different
549,save load pocketpaint format,change width,different,0.221785292,different
4961,fastlane support huawei store,text insert,different,0.221764594,different
49,checkmark confirm tool applications,add a blur,different,0.221740544,different
4037,save temporary copies automatically,reduces resolution,different,0.221727043,different
853,hint change default settings tools,color grid,different,0.22169432,different
1238,dynamic color scheme,dank prince,different,0.221593902,different
1707,hint change default settings tools,fill tool fills,different,0.221553981,different
3686,upload mapping jenkins release builds,paint file,different,0.221517041,different
4990,build paintroid pull requests catroid develop jenkins,text outline,different,0.221508712,different
3779,checkmark confirm tool applications,perfect substitute,different,0.221446857,different
1491,insert image catrobat media gallery,dynamic brushes,different,0.221401244,different
1546,auto crop icon,edit small things,different,0.2213673,different
5292,close transform tool options clicking apply,wide range,different,0.221359789,different
2385,better compression research implementation,invent games,different,0.221319571,different
400,export,available font,different,0.221261844,different
208,hint change default settings tools,air brush,different,0.221253023,different
910,export,colour fill option,different,0.221151546,different
1674,hide unhide layer,fill color,different,0.220971704,different
2347,save load pocketpaint format,intuitive layout,different,0.220889896,different
2346,save load pocketpaint format,intuitive layout,different,0.220889896,different
5178,build paintroid pull requests catroid develop jenkins,ui design,different,0.220834836,different
5127,image file size editing,transparent color,different,0.220804945,different
4842,spray tool,take small space,different,0.22057876,different
2035,better compression research implementation,gauging smaller sizes,different,0.220548823,different
4102,checkmark confirm tool applications,removes exif data,different,0.220490158,different
4165,build paintroid pull requests catroid develop jenkins,resize picture,different,0.220435306,different
2464,copy paste symbols stamp tool selection application,landscape mode,different,0.22041674,different
3781,save dialog,perfect substitute,different,0.220257372,different
4585,center button transform tool,shrink an image,different,0.220213845,different
836,github crowdin integration,color fill tool,different,0.220142618,different
3467,github crowdin integration,new update,different,0.220011309,different
1422,build paintroid pull requests catroid develop jenkins,drawing tool for kids,different,0.2199817,different
2529,upload mapping jenkins release builds,last update perfect,different,0.219931781,different
3667,hide unhide layer,paint file,different,0.219857395,different
1331,hint change default settings tools,do some quite,different,0.219748363,different
4119,paste tool,rendering useless,different,0.219713002,different
4851,confirm tool application selecting tool,take small space,different,0.219667017,different
5110,share feature,transparent color,different,0.219649404,different
4416,feedback menu entry overflow menu,see every pixel,different,0.219633967,different
652,correct user intended position tools,chat thing,different,0.219594255,different
5150,github crowdin integration,type text,different,0.219583362,different
1744,build paintroid pull requests catroid develop jenkins,fill tools,different,0.219564825,different
2028,spray tool,gauging smaller sizes,different,0.219432577,different
2572,copy paste symbols stamp tool selection application,liked line,different,0.21941705,different
1982,export,future a necessity,different,0.219415128,different
663,insert image catrobat media gallery,circle draw,different,0.219326109,different
1152,github crowdin integration,crop edge,different,0.219320238,different
2314,correct user intended position tools,infinite painter,different,0.219307154,different
789,close transform tool options clicking apply,color drawings,different,0.219063804,different
4639,github crowdin integration,simple area selection,different,0.218989223,different
357,close transform tool options clicking apply,auto zoom kills,different,0.21895504,different
262,hint change default settings tools,alpha transparencies,different,0.218830526,different
1172,save dialog,crop images,different,0.218776241,different
679,correct user intended position tools,circle draw,different,0.218775809,different
2525,github crowdin integration,last update perfect,different,0.218660399,different
5293,save temporary copies automatically,wide range,different,0.218644872,different
5106,paste tool,transparent color,different,0.218589261,different
4897,insert image catrobat media gallery,tell resolution,different,0.218572617,different
963,export,colour shades,different,0.21854943,different
852,auto crop icon,color grid,different,0.21849668,different
2199,confirm tool application selecting tool,gradient fill,different,0.218480602,different
5226,better compression research implementation,user interface,different,0.218335465,different
1503,build paintroid pull requests catroid develop jenkins,dynamic brushes,different,0.218175158,different
1047,reuse drawingsurface pipette activity,correct point,different,0.218163356,different
1286,github crowdin integration,dedicated pan,different,0.218146712,different
1596,feedback menu entry overflow menu,enter texts,different,0.218122542,different
1340,github crowdin integration,do some quite,different,0.218118042,different
4875,save dialog,takes little time,different,0.218047902,different
4552,checkmark confirm tool applications,settings option,different,0.217962325,different
1817,copy paste symbols stamp tool selection application,find a place,different,0.217952743,different
2932,correct user intended position tools,magic wand,different,0.217922494,different
496,save load pocketpaint format,brush canvas,different,0.217856854,different
495,save load pocketpaint format,brush canvas,different,0.217856854,different
859,confirm tool application selecting tool,color grid,different,0.217772931,different
5118,save dialog,transparent color,different,0.217772618,different
3164,save dialog,missing text insert,different,0.217712075,different
297,fastlane support huawei store,android developers,different,0.217621028,different
2822,image file size editing,low resolution,different,0.217232808,different
2628,better compression research implementation,line shapes,different,0.217231095,different
3503,paste tool,newest update,different,0.217165589,different
2383,copy paste symbols stamp tool selection application,invent games,different,0.217093736,different
3438,center button transform tool,new image option,different,0.217041165,different
484,fastlane support huawei store,blur tool,different,0.217015564,different
4382,close transform tool options clicking apply,see a grid,different,0.216993213,different
958,hint change default settings tools,colour shades,different,0.216960862,different
2776,save load pocketpaint format,low end,different,0.216936857,different
2775,save load pocketpaint format,low end,different,0.216936857,different
3343,save load pocketpaint format,ms paint,different,0.216931775,different
3342,save load pocketpaint format,ms paint,different,0.216931775,different
1856,correct user intended position tools,find only theyer,different,0.216896832,different
3723,auto crop icon,paste images,different,0.216861144,different
4367,checkmark confirm tool applications,screen shots,different,0.21679458,different
1325,hide unhide layer,do some quite,different,0.216768071,different
2563,save load pocketpaint format,liked line,different,0.216763973,different
2562,save load pocketpaint format,liked line,different,0.216763973,different
4789,insert image catrobat media gallery,stop camera,different,0.216728956,different
1159,close transform tool options clicking apply,crop images,different,0.216667742,different
4609,better compression research implementation,shrinks image size,different,0.21666041,different
2649,insert image catrobat media gallery,line tools,different,0.216566101,different
4064,close transform tool options clicking apply,reflect chosen colour,different,0.216561615,different
3888,save dialog,pixel art,different,0.216534927,different
1025,close transform tool options clicking apply,correct point,different,0.216480345,different
253,paste tool,alpha transparencies,different,0.216391101,different
2487,insert image catrobat media gallery,large image,different,0.216306061,different
2353,auto crop icon,intuitive layout,different,0.21626991,different
3683,build paintroid pull requests catroid develop jenkins,paint file,different,0.216214865,different
3432,checkmark confirm tool applications,new image option,different,0.216205791,different
4117,close transform tool options clicking apply,rendering useless,different,0.216120899,different
4298,reuse drawingsurface pipette activity,rotation controls,different,0.21606043,different
2133,hide unhide layer,good range,different,0.216028124,different
3216,checkmark confirm tool applications,more shapes,different,0.215949073,different
670,export,circle draw,different,0.215679616,different
1293,close transform tool options clicking apply,device folder,different,0.215670213,different
687,share feature,circle tools,different,0.215647727,different
1009,auto crop icon,copy paste,different,0.215499103,different
3941,copy paste symbols stamp tool selection application,pocket paint,different,0.215451077,different
4669,image file size editing,simple draw offer,different,0.215425551,different
5331,checkmark confirm tool applications,wide verity,different,0.215355664,different
662,spray tool,circle draw,different,0.215206414,different
4154,auto crop icon,resize picture,different,0.215193242,different
2341,correct user intended position tools,inport picture,different,0.215159893,different
1824,github crowdin integration,find a place,different,0.215156481,different
4733,share feature,specify canvas size,different,0.21514602,different
3178,save temporary copies automatically,more layers,different,0.214973733,different
4051,better compression research implementation,reduces resolution,different,0.214970395,different
832,export,color fill tool,different,0.214968354,different
4233,auto crop icon,resizing entire image,different,0.214963973,different
3772,hide unhide layer,perfect substitute,different,0.214941889,different
561,better compression research implementation,change width,different,0.214932203,different
5278,copy paste symbols stamp tool selection application,white worked,different,0.21487543,different
3907,share feature,pocket code,different,0.214819074,different
4329,dynamic color scheme,satisfy my experience,different,0.214791745,different
3891,confirm tool application selecting tool,pixel art,different,0.21471709,different
2377,feedback menu entry overflow menu,invent games,different,0.214702517,different
2680,better compression research implementation,load photos,different,0.214580134,different
1163,save load pocketpaint format,crop images,different,0.214202255,different
1162,save load pocketpaint format,crop images,different,0.214202255,different
774,checkmark confirm tool applications,code to games,different,0.214193493,different
4906,center button transform tool,tell resolution,different,0.214191213,different
2502,upload mapping jenkins release builds,large image,different,0.2140674,different
3810,export,picky guy,different,0.214047894,different
2439,better compression research implementation,landscape fact,different,0.214036033,different
3707,github crowdin integration,paste a part,different,0.21402657,different
863,build paintroid pull requests catroid develop jenkins,color grid,different,0.213960677,different
2094,github crowdin integration,go hang,different,0.213934064,different
4444,spray tool,see this drive,different,0.213737249,different
4784,save load pocketpaint format,stop camera,different,0.21373032,different
4783,save load pocketpaint format,stop camera,different,0.21373032,different
1808,save load pocketpaint format,find a place,different,0.213669717,different
1807,save load pocketpaint format,find a place,different,0.213669717,different
3894,github crowdin integration,pixel art,different,0.213599116,different
781,fastlane support huawei store,code to games,different,0.213437647,different
2110,insert image catrobat media gallery,good art,different,0.213412479,different
1712,export,fill tool fills,different,0.213273108,different
4608,save dialog,shrinks image size,different,0.213204741,different
2582,image file size editing,liked line,different,0.213137284,different
4866,hide unhide layer,takes little time,different,0.21311754,different
2824,correct user intended position tools,low resolution,different,0.213030279,different
3920,fastlane support huawei store,pocket code,different,0.212802291,different
4503,better compression research implementation,selection tool,different,0.212714136,different
1433,hide unhide layer,drawing tools like brush,different,0.212695509,different
1289,image file size editing,dedicated pan,different,0.212473899,different
616,export,changing cartoon characters,different,0.212473169,different
5119,better compression research implementation,transparent color,different,0.212444484,different
2895,better compression research implementation,made reviews,different,0.212382942,different
2451,close transform tool options clicking apply,landscape mode,different,0.212341964,different
1889,save load pocketpaint format,free and powerful,different,0.212164134,different
1888,save load pocketpaint format,free and powerful,different,0.212164134,different
4383,save temporary copies automatically,see a grid,different,0.211877108,different
206,insert image catrobat media gallery,air brush,different,0.211824164,different
515,image file size editing,brush canvas,different,0.211749971,different
5158,save temporary copies automatically,ui design,different,0.211743742,different
989,export,converting photos from mb,different,0.211704567,different
1929,confirm tool application selecting tool,friendliness range,different,0.211689413,different
311,share feature,applying a color,different,0.211659133,different
1729,share feature,fill tools,different,0.211611494,different
3658,image file size editing,paint bucket,different,0.211604103,different
1845,save dialog,find only theyer,different,0.211546272,different
5319,close transform tool options clicking apply,wide verity,different,0.211492017,different
1833,paste tool,find only theyer,different,0.21148169,different
2169,save dialog,good work,different,0.211428434,different
1343,image file size editing,do some quite,different,0.21141094,different
2977,export,manipulator programs,different,0.211386889,different
3193,export,more layers,different,0.211305022,different
255,save load pocketpaint format,alpha transparencies,different,0.211203083,different
254,save load pocketpaint format,alpha transparencies,different,0.211203083,different
1489,feedback menu entry overflow menu,dynamic brushes,different,0.211161479,different
2444,github crowdin integration,landscape fact,different,0.211132914,different
109,center button transform tool,add more colour,different,0.211025387,different
4889,save temporary copies automatically,tell resolution,different,0.210941866,different
3980,correct user intended position tools,put titles,different,0.210936934,different
4345,confirm tool application selecting tool,save your favourite,different,0.210907906,different
2701,auto crop icon,load pictures,different,0.210899144,different
850,spray tool,color grid,different,0.210775614,different
5297,hide unhide layer,wide range,different,0.210728094,different
5085,spray tool,tools abhorrent,different,0.210526362,different
2948,save dialog,main issue tools,different,0.210489705,different
1351,save load pocketpaint format,draw frames,different,0.210470021,different
1350,save load pocketpaint format,draw frames,different,0.210470021,different
5018,reuse drawingsurface pipette activity,text to pictures,different,0.210463151,different
3354,better compression research implementation,ms paint,different,0.210370451,different
195,correct user intended position tools,adding text,different,0.210310653,different
5356,auto crop icon,zoom tool,different,0.210223198,different
579,share feature,changed language,different,0.210162297,different
127,auto crop icon,add pen tool,different,0.210061833,different
2312,image file size editing,infinite painter,different,0.21003893,different
4228,hide unhide layer,resizing entire image,different,0.209928066,different
399,better compression research implementation,available font,different,0.209764481,different
2754,insert image catrobat media gallery,look funny lol,different,0.209655344,different
389,hide unhide layer,available font,different,0.209460795,different
2026,share feature,gauging smaller sizes,different,0.20942533,different
4296,github crowdin integration,rotation controls,different,0.209363297,different
4899,hint change default settings tools,tell resolution,different,0.209333286,different
1872,save dialog,free and many,different,0.209311515,different
3971,export,put titles,different,0.209245533,different
3568,copy paste symbols stamp tool selection application,original position,different,0.2092437,different
2966,hide unhide layer,manipulator programs,different,0.209215492,different
5346,close transform tool options clicking apply,zoom tool,different,0.209102258,different
5161,save load pocketpaint format,ui design,different,0.209076494,different
5160,save load pocketpaint format,ui design,different,0.209076494,different
3420,close transform tool options clicking apply,new image option,different,0.209040657,different
1141,spray tool,crop edge,different,0.208994299,different
3058,export,marking options,different,0.208933353,different
4893,hide unhide layer,tell resolution,different,0.208919674,different
252,save temporary copies automatically,alpha transparencies,different,0.208810836,different
563,confirm tool application selecting tool,change width,different,0.208802134,different
4687,save dialog,small basic animation,different,0.208795786,different
1702,share feature,fill tool fills,different,0.20873031,different
176,share feature,adding text,different,0.208629981,different
5302,auto crop icon,wide range,different,0.208577007,different
2003,auto crop icon,future update,different,0.208572641,different
2114,copy paste symbols stamp tool selection application,good art,different,0.208413839,different
4476,copy paste symbols stamp tool selection application,select transparent on colors,different,0.208331764,different
4314,hint change default settings tools,satisfy my experience,different,0.208323389,different
1757,feedback menu entry overflow menu,fill with alpha,different,0.208291024,different
1110,save load pocketpaint format,creating a option,different,0.208263069,different
1109,save load pocketpaint format,creating a option,different,0.208263069,different
889,build paintroid pull requests catroid develop jenkins,color picker,different,0.208214104,different
1640,correct user intended position tools,export my pictures,different,0.20821026,different
5129,correct user intended position tools,transparent color,different,0.208187759,different
5311,fastlane support huawei store,wide range,different,0.208171472,different
1180,reuse drawingsurface pipette activity,crop images,different,0.208093569,different
2437,copy paste symbols stamp tool selection application,landscape fact,different,0.20803833,different
4398,export,see a grid,different,0.207884833,different
2194,checkmark confirm tool applications,gradient fill,different,0.207876906,different
4175,hide unhide layer,resize pictures,different,0.207836673,different
2513,spray tool,last update perfect,different,0.207815498,different
3492,center button transform tool,new update sucks,different,0.207772091,different
3939,hint change default settings tools,pocket paint,different,0.207738966,different
2333,confirm tool application selecting tool,inport picture,different,0.20771119,different
2841,better compression research implementation,lower resolution,different,0.207677811,different
591,center button transform tool,changed language,different,0.207670256,different
2538,share feature,like paint,different,0.207654774,different
4576,insert image catrobat media gallery,shrink an image,different,0.207648009,different
4578,hint change default settings tools,shrink an image,different,0.207629532,different
1842,hint change default settings tools,find only theyer,different,0.207615152,different
1711,better compression research implementation,fill tool fills,different,0.207536399,different
3210,share feature,more shapes,different,0.207518637,different
3444,upload mapping jenkins release builds,new image option,different,0.207502663,different
102,hint change default settings tools,add more colour,different,0.207382143,different
3698,auto crop icon,paste a part,different,0.207348317,different
5074,upload mapping jenkins release builds,toggle move option,different,0.207218245,different
3220,export,more shapes,different,0.207213819,different
1486,save load pocketpaint format,dynamic brushes,different,0.207190946,different
1485,save load pocketpaint format,dynamic brushes,different,0.207190946,different
2382,checkmark confirm tool applications,invent games,different,0.207173839,different
4759,hide unhide layer,spray tool,different,0.207090944,different
519,close transform tool options clicking apply,change canvas size,different,0.207085028,different
899,hide unhide layer,colour fill option,different,0.207071245,different
2733,better compression research implementation,long lines,different,0.206959069,different
804,better compression research implementation,color drawings,different,0.206810713,different
1941,paste tool,full screen,different,0.206764802,different
3635,close transform tool options clicking apply,paint bucket,different,0.206654385,different
3648,copy paste symbols stamp tool selection application,paint bucket,different,0.206628472,different
116,correct user intended position tools,add more colour,different,0.206624344,different
5291,dynamic color scheme,white worked,different,0.206593722,different
5014,center button transform tool,text to pictures,different,0.206587598,different
451,copy paste symbols stamp tool selection application,basic components,different,0.206451491,different
1681,checkmark confirm tool applications,fill color,different,0.206338525,different
3673,hint change default settings tools,paint file,different,0.206336707,different
155,hint change default settings tools,add transparency,different,0.206155628,different
3095,dynamic color scheme,mean thing,different,0.206082284,different
3225,build paintroid pull requests catroid develop jenkins,more shapes,different,0.206073582,different
653,dynamic color scheme,chat thing,different,0.206023127,different
4479,export,select transparent on colors,different,0.205893546,different
1774,upload mapping jenkins release builds,fill with alpha,different,0.205794632,different
3456,insert image catrobat media gallery,new update,different,0.205779582,different
4966,upload mapping jenkins release builds,text insert,different,0.205776379,different
4600,share feature,shrinks image size,different,0.205711499,different
1951,checkmark confirm tool applications,full screen,different,0.20562984,different
1405,save load pocketpaint format,drawing tool for kids,different,0.205575287,different
1404,save load pocketpaint format,drawing tool for kids,different,0.205575287,different
1851,github crowdin integration,find only theyer,different,0.205566511,different
2136,spray tool,good range,different,0.205424339,different
447,insert image catrobat media gallery,basic components,different,0.205401674,different
4892,save load pocketpaint format,tell resolution,different,0.205312327,different
4891,save load pocketpaint format,tell resolution,different,0.205312327,different
4389,feedback menu entry overflow menu,see a grid,different,0.205282718,different
3836,better compression research implementation,pictures shots,different,0.205212951,different
1175,confirm tool application selecting tool,crop images,different,0.205100447,different
2545,copy paste symbols stamp tool selection application,like paint,different,0.205072761,different
3451,save load pocketpaint format,new update,different,0.204873115,different
3450,save load pocketpaint format,new update,different,0.204873115,different
2771,dynamic color scheme,look funny lol,different,0.204820767,different
452,save dialog,basic components,different,0.204778269,different
5024,save temporary copies automatically,think concept,different,0.204720706,different
3499,correct user intended position tools,new update sucks,different,0.204598099,different
2830,save load pocketpaint format,lower resolution,different,0.204538271,different
2829,save load pocketpaint format,lower resolution,different,0.204538271,different
257,share feature,alpha transparencies,different,0.2045151,different
3936,spray tool,pocket paint,different,0.204425961,different
